Feature,Importance
inactive_contributors,0.13295746041771828
attention,0.11876893930464894
issue_comments,0.07256194298158578
issue_age_avg,0.06483821116455057
stars,0.0610034537023202
code_change_lines_add,0.05705085908806399
bus_factor,0.046726204675269174
change_requests_reviews,0.046635530967887855
issue_response_time_avg,0.044765553302683524
issues_new,0.04403623913601165
change_request_response_time_avg,0.038794472189887026
change_request_age_avg,0.03672367184661891
change_requests_accepted,0.03322116525912668
activity,0.032821344892920566
issues_and_change_request_active,0.028946559643318312
issue_resolution_duration_avg,0.02434191203652011
code_change_lines_remove,0.01999571029917231
code_change_lines_sum,0.01814884034385572
issues_closed,0.017290174534659634
change_request_resolution_duration_avg,0.01684497103072034
new_contributors,0.01585529475092976
change_requests,0.015566218804506227
participants,0.012105269627024367
