Feature,Importance
issue_age_avg,0.06986520462787985
change_request_age_avg,0.05969181004481631
activity,0.057712523637603534
inactive_contributors,0.0576076823412655
attention,0.05685349639686666
code_change_lines_remove,0.05473621862991234
code_change_lines_sum,0.05119549767545194
stars,0.05086655597157382
issue_comments,0.049443306845017396
code_change_lines_add,0.04905819595522856
issue_response_time_avg,0.04685564605310151
change_request_resolution_duration_avg,0.04549696120307862
issue_resolution_duration_avg,0.04232089096906898
change_request_response_time_avg,0.04190593421078207
issues_and_change_request_active,0.040389699609537213
participants,0.035944549477935434
change_requests,0.031641225794944786
issues_new,0.03033644818406029
bus_factor,0.03000486972427084
change_requests_accepted,0.02872220146021807
issues_closed,0.02760399779958069
change_requests_reviews,0.022890772602714507
new_contributors,0.018856310785091028
