Feature,Importance
issue_age_avg,0.14138529155764382
attention,0.11679304511782791
inactive_contributors,0.11055209102820265
change_request_age_avg,0.07066151369355642
issue_comments,0.055612978710455986
issue_response_time_avg,0.054523439492016657
change_request_response_time_avg,0.048645238144999554
issues_new,0.042458898058231075
stars,0.04198984983301927
issue_resolution_duration_avg,0.03761578719712802
change_request_resolution_duration_avg,0.03456289247113016
bus_factor,0.03381923220464464
code_change_lines_add,0.029202779088681543
change_requests_reviews,0.027385929666807446
code_change_lines_remove,0.026470440444550936
issues_and_change_request_active,0.02603698492468815
activity,0.0221356235250968
new_contributors,0.021022891143338083
code_change_lines_sum,0.016586172683901283
change_requests_accepted,0.013200362772533187
change_requests,0.012963869345656895
participants,0.01257337887343634
issues_closed,0.0038013100224532272
