,year,name,avg_outdated_days
129,2022-01-01,@releaseband/commitlint-config,0.0
130,2016-01-01,vue-jest,2083.5
131,2020-01-01,@rollup/plugin-url,184.06849315068493
132,2020-01-01,grunt-contrib-uglify,312.2830188679245
133,2019-01-01,ganache-cli,409.7278911564626
134,2017-01-01,ng2-bootstrap,156.51724137931035
135,2021-01-01,moq.ts,140.98181818181817
136,2020-01-01,ganache-cli,239.08620689655172
137,2017-01-01,@oigroup/lightscript-eslint,433.125
138,2019-01-01,@types/watch,756.25
139,2019-01-01,@uhc/pattern-library,4.0
140,2021-01-01,npm-test-ly,0.0
141,2018-01-01,vfile,4.0
142,2017-01-01,blear.utils.date,2.0
143,2021-01-01,fepper-ui,239.16666666666666
144,2019-01-01,vue-hot-reload-api,469.65868263473055
145,2018-01-01,od-image-upload,0.0
146,2017-01-01,vue-hot-reload-api,678.5092127303183
147,2021-01-01,@vue/cli,51.11764705882353
148,2018-01-01,vue-particle-line,42.5
149,2019-01-01,enzyme-adapter-react-15,48.833333333333336
150,2017-01-01,karma-jasmine-diff-reporter,155.8
151,2021-01-01,vue-jest,188.343797856049
152,2018-01-01,pegjs,647.25
153,2020-01-01,@salte-auth/redirect,419.0
154,2018-01-01,@webpack-cli/init,6.4
155,2020-01-01,@hapi/eslint-plugin-hapi,252.0
156,2016-01-01,@types/chalk,645.3409090909091
157,2020-01-01,opentype.js,37.3448275862069
158,2022-01-01,stentor-guards,0.0
159,2019-01-01,eslint-plugin-pretty-imports,0.0
160,2014-01-01,grunt-autoprefixer,218.80397727272728
161,2019-01-01,@types/log-update,287.0
162,2014-01-01,stylobate-islands,27.666666666666668
163,2017-01-01,johanness-scripts,226.8
164,2020-01-01,kava,4.333333333333333
165,2017-01-01,cpy,245.72727272727272
166,2018-01-01,codogo-scripts,42.714285714285715
167,2012-01-01,baudio,199.0
168,2014-01-01,baudio,80.5
169,2015-01-01,grunt-autoprefixer,182.97260273972603
170,2021-01-01,@size-limit/preset-small-lib,95.10466988727859
171,2021-01-01,@babel/plugin-proposal-function-bind,29.38095238095238
172,2018-01-01,noderize-scripts,2.875
173,2021-01-01,vitepress,19.266666666666666
174,2018-01-01,grunt-contrib-uglify,400.45652173913044
175,2021-01-01,@alicd/build-plugin-component-babel-plugins,36.5
176,2013-01-01,baudio,308.75
177,2016-01-01,cpy,690.060606060606
178,2018-01-01,ganache-cli,646.4744186046512
179,2019-01-01,@types/nprogress,353.20338983050846
